Project Name,Package Name,Architecture Smell,Cause of the Smell
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.carlspring.cloud.storage.s3fs
s3fs-nio,org.carlspring.cloud.storage.s3fs,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42
s3fs-nio,org.carlspring.cloud.storage.s3fs,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [S3AccessControlList; S3FileSystemProvider; S3Path; S3SeekableByteChannel; FilesIT; FileSystemsIT; S3FileChannelTest; S3FileStoreTest; S3FileSystemTest; S3IteratorTest; S3SeekableByteChannelTest; S3UnitTestBase; S3UtilsIT; S3UtilsTest; S3WalkerTest; S3AwsRegionProviderChain; S3Factory; S3FileSystem; S3Iterator; S3AwsRegionProviderChainTest; S3ClientFactory; S3ClientFactoryTest; S3FileChannel; S3FileStore; S3FileStoreAttributeView; S3FilteredIterator; S3ObjectId; S3OutputStream; S3OutputStreamTest; BaseIntegrationTest; BaseTest; S3ClientIT]; [S3AwsRegionProviderChain.Builder]; [S3FileStoreAttributeView.AttrID]; [S3FileSystemConfigurationException]; [S3ObjectId.Builder]; [S3OutputStream.StreamAlreadyClosedException]; [AttributesUtilsTest]; [CacheTest]; [S3FileAttributesTest]; [S3WalkerTest.RegisteringVisitor]; [S3WalkerTest.CheckVisitor]. LCC (Lack of Component Cohesion) = 0.26
s3fs-nio,org.carlspring.cloud.storage.s3fs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.carlspring.cloud.storage.s3fs; org.carlspring.cloud.storage.s3fs.util; org.carlspring.cloud.storage.s3fs
s3fs-nio,org.carlspring.cloud.storage.s3fs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.carlspring.cloud.storage.s3fs; org.carlspring.cloud.storage.s3fs.attribute; org.carlspring.cloud.storage.s3fs
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.carlspring.cloud.storage.s3fs.attribute; org.carlspring.cloud.storage.s3fs
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AttributesUtils]; [Cache]; [Constants]; [IOUtils; S3ClientMock; S3MockFactory; MockBucket]; [S3Utils]; [BrokenS3Factory]; [CopyDirVisitor]; [EnvironmentBuilder]; [ExposingS3BaseClientBuilder; ExposingS3ClientBuilder]; [ExposingS3Client; ExposingS3ClientFactory]; [FileAttributeBuilder]; [MinioContainer]; [S3ClientMock.S3Element]; [S3EndpointConstant]; [UnsupportedFileStoreAttributeView]. LCC (Lack of Component Cohesion) = 0.75
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CheckAccessTest]; [CopyTest]; [CreateDirectoryTest]; [DeleteTest]; [GetFileAttributeViewTest]; [GetFileStoreTest]; [GetFileSystemIT]; [GetPathTest]; [IsHiddenTest]; [IsSameFileTest]; [MoveTest]; [NewAsynchronousFileChannelTest]; [NewAsynchronousFileChannelTestIT]; [NewByteChannelIT]; [NewByteChannelTest]; [NewDirectoryStreamTest]; [NewFileSystemIT]; [NewFileSystemTest]; [NewInputStreamTest]; [NewOutputStreamTest]; [ReadAttributesTest]; [SetAttributeTest]. LCC (Lack of Component Cohesion) = 1.0
s3fs-nio,org.carlspring.cloud.storage.s3fs.junit.examples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CombinedIT]; [CombinedMinioS3IT]; [CombinedS3MinioIT]; [MinioClassAnnotationIT]; [MinioMethodAnnotationIT]; [S3ClassAnnotationIT]; [S3MethodAnnotationIT]. LCC (Lack of Component Cohesion) = 1.0
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EndsWithTest]; [EqualsTest]; [GetFileNameTest]; [GetKeyTest]; [GetNameTest]; [GetRootTest]; [IteratorTest]; [ResolveSiblingTest]; [ResolveTest]; [S3PathTest]; [StartsWithTest]; [SubpathTest]; [ToUriTest]; [ToURLIT]; [ToURLIT.Entry]. LCC (Lack of Component Cohesion) = 1.0
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EnvironmentIT]; [FileStoreTest]; [InstallProviderTest]; [PathSpecTest]; [PathSpecTest2]; [ProviderSpecTest]; [SpecTest]; [URISpikeTest]. LCC (Lack of Component Cohesion) = 1.0
