Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3BasicFileAttributes,S3BasicFileAttributes,Long Parameter List,The method has 5 parameters. ,25
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3BasicFileAttributes,toString,Long Statement,The length of the statement "return format("[%s: lastModified=%s` size=%s` isDirectory=%s` isRegularFile=%s]"`key`lastModifiedTime`size`directory`regularFile);" is 130.,94
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3PosixFileAttributes,S3PosixFileAttributes,Long Parameter List,The method has 8 parameters. ,18
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Factory,getS3Client,Long Statement,The length of the statement "builder.region(getRegion(props)).credentialsProvider(getCredentialsProvider(props)).httpClient(getHttpClient(props)).overrideConfiguration(getOverrideConfiguration(props)).serviceConfiguration(getServiceConfiguration(props));" is 225.,101
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Factory,getOverrideConfiguration,Long Statement,The length of the statement "catch ( final ClassNotFoundException|NoSuchMethodException|InstantiationException|IllegalAccessException|InvocationTargetException e) {" is 135.,278
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Factory,getProxyConfiguration,Complex Method,Cyclomatic complexity of the method is 8,319
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,S3FileChannel,Complex Conditional,The conditional expression !exists && !this.options.contains(StandardOpenOption.CREATE_NEW) && !this.options.contains(StandardOpenOption.CREATE) is complex.,77
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,S3FileChannel,Long Parameter List,The method has 5 parameters. ,77
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,S3FileChannel,Long Statement,The length of the statement "else if (!exists && !this.options.contains(StandardOpenOption.CREATE_NEW) && !this.options.contains(StandardOpenOption.CREATE)) {" is 129.,77
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,lock,Long Parameter List,The method has 5 parameters. ,360
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,sync,Long Statement,The length of the statement "builder.bucket(path.getBucketName()).key(path.getKey()).contentLength(length).contentType(new Tika().detect(stream`path.getFileName().toString()));" is 147.,466
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStore,hasBucket,Empty catch clause,The method has an empty catch block.,138
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStore,hashCode,Magic Number,The method contains a magic number: 31,200
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStore,equals,Complex Method,Cyclomatic complexity of the method is 8,211
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView,getAttribute,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@250becb7,48
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystem,S3FileSystem,Long Parameter List,The method has 5 parameters. ,41
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystem,S3FileSystem,Magic Number,The method contains a magic number: 60000,41
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystem,hashCode,Magic Number,The method contains a magic number: 31,193
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystem,equals,Complex Method,Cyclomatic complexity of the method is 8,205
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,validateProperties,Long Statement,The length of the statement "Preconditions.checkArgument((props.getProperty(ACCESS_KEY) == null && props.getProperty(SECRET_KEY) == null) || (props.getProperty(ACCESS_KEY) != null && props.getProperty(SECRET_KEY) != null)`"%s and %s should both be provided or should both be omitted"`ACCESS_KEY`SECRET_KEY);" is 278.,218
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,newOutputStream,Long Statement,The length of the statement "return new S3OutputStream(fileSystem.getClient()`s3Path.toS3ObjectId()`null`metadata`fileSystem.getRequestHeaderCacheControlProperty());" is 136.,564
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,validateCreateAndTruncateOptions,Long Parameter List,The method has 5 parameters. ,611
