Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
s3fs-nio,org.carlspring.cloud.storage.s3fs,AttributesUtilsTest,filterAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createEmptyDirTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createEmptyFileTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,createTempFileAndWrite,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,deleteDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,copyDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,directoryStreamBaseBucketFindDirectoryTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,directoryStreamBaseBucketFindFileTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,directoryStreamFirstDirTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamWithVirtualSubFolderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
