Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3BasicFileAttributeView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3PosixFileAttributes,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3BasicFileAttributes
s3fs-nio,org.carlspring.cloud.storage.s3fs.attribute,S3PosixFileAttributeView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AccessControlList,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: S3Path; S3FileStore; S3FileSystem; S3FileSystemProvider; S3Utils; S3AccessControlList
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChain.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: profileFile; profileName
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChain.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Factory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: REGION; ACCESS_KEY; SECRET_KEY; REQUEST_METRIC_COLLECTOR_CLASS; CONNECTION_TIMEOUT; MAX_CONNECTIONS; MAX_ERROR_RETRY; PROTOCOL; PROXY_DOMAIN; PROXY_HOST; PROXY_PASSWORD; PROXY_PORT; PROXY_USERNAME; PROXY_WORKSTATION; PROXY_PROTOCOL; SOCKET_SEND_BUFFER_SIZE_HINT; SOCKET_RECEIVE_BUFFER_SIZE_HINT; SOCKET_TIMEOUT; USER_AGENT; SIGNER_OVERRIDE; PATH_STYLE_ACCESS; REQUEST_HEADER_CACHE_CONTROL; LOGGER; DEFAULT_PROTOCOL; DEFAULT_REGION; RADIX
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannel,Feature Envy,The tool detected a instance of this smell because sync is more interested in members of the type: S3Path
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ATTRIBUTE_VIEW_NAME; creationDate; name; ownerId; ownerDisplayName
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView.AttrID,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreAttributeView.AttrID,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystem,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CHARSET_KEY; S3_FACTORY_CLASS; fileSystems; PROPS_TO_OVERLOAD; MAX_OBJECT_PER_REQUEST; LOGGER; s3Utils; cache
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
